publishedAt,title,videoId
2025-04-15T19:30:06Z,You're not behind in life | Mel Robbins #Shorts,fWvCGkecNBI
2025-04-14T09:01:24Z,"If You’re Feeling Behind in Life, Watch This",tyzOH2tr9_M
2025-04-13T19:30:06Z,Let them have negative thoughts about you | Mel Robbins #Shorts,lMkwDLty8oE
2025-04-11T19:30:06Z,"Skin picking, nail biting... There's a reason you do it | Mel Robbins #Shorts",XTrJJG_6llQ
2025-04-10T09:00:22Z,The Truth About Anxiety & ADHD: Life-Changing Tools From Renowned Psychiatrist Dr. Tracey Marks,LOkEvGV-L4U
2025-04-09T19:30:00Z,You'll never see people the same after this | Mel Robbins #Shorts,2UCAWfPi1ZI
2025-04-08T19:30:04Z,How Having Daughters Changed Charlamagne Tha God Forever | Mel Robbins #Shorts,bX1urs4rhmc
2025-04-07T09:00:02Z,Reinvent Yourself: Let Go of Past Mistakes & Create a New Version of You With Charlamagne tha God,0CMKkM84vOk
2025-04-06T19:30:02Z,Watch this before you drink your next cup of coffee | Mel Robbins #Shorts,BpKdz3JYHlQ
2025-04-04T19:30:08Z,The #1 Factor That Gets You Promoted (It's Not What You Think) | Mel Robbins #Shorts,iix6tbuWb7Q
2025-04-03T09:00:32Z,The Most Important Career Advice You’ll Ever Hear With Harvard Business School’s #1 Professor,KmRPqrM9SWM
2025-04-02T19:30:06Z,No one is coming | Mel Robbins #Shorts,rOlGWqTwwVY
2025-04-01T19:30:06Z,The book that changed how I see life forever | Mel Robbins #Shorts,T0eULgNMgjA
2025-03-31T09:00:05Z,4 Books That Will Change Your Life,4jE5UpWJy9Q
2025-03-30T19:30:03Z,What trauma really means (with Gabor Maté) | Mel Robbins #Shorts,iBf0YEk2PDY
2025-03-28T19:30:06Z,Women & Cold Plunging - What No One Talks About | Mel Robbins #Shorts,RDyVmL_eHmM
2025-03-27T14:20:43Z,"The Body Reset: How Women Should Eat & Exercise for Health, Fat Loss, & Energy | Dr. Stacy Sims",cEVAjm_ETtY
2025-03-25T19:30:04Z,How unhealed trauma shows up in the body | Mel Robbins #Shorts,RSwhWrQumKQ
2025-03-24T09:01:07Z,Why You Feel Lost in Life: Dr. Gabor Maté on Trauma & How to Heal,tool-R8VJ2Y
2025-03-23T19:30:02Z,How to talk to the emotionally immature | Mel Robbins #Shorts,QI8vMsls6qQ
2025-03-21T19:30:08Z,85% of women have this sex drive - and no one is talking about it | Mel Robbins #Shorts,rqoVb2Og7oA
2025-03-20T09:00:30Z,"Your Guide to Better Sex, Intimacy, & Love From a World-Leading Sex Therapist",LoPJEzhtypc
2025-03-19T19:30:01Z,The one workout routine every woman should do | Mel Robbins #Shorts,8E_TYVVbQSw
2025-03-18T19:30:01Z,"When someone talks over you, do this. | Mel Robbins #Shorts",CI2YZovVI8k
2025-03-17T09:00:15Z,6 Sneaky Ways People Are Disrespecting You & What to Do About It,FrXsUHP-v9s
2025-03-16T19:30:07Z,"\"30% of women who break a hip don't make it\" | Mel Robbins #Shorts",pR16y5f6eQM
2025-03-14T19:30:03Z,You have to see this if you have anxiety | Mel Robbins #Shorts,OHUAVop7WCM
2025-03-13T09:00:43Z,"If You’re Feeling Uncertain & Anxious, You Need to Hear This | Dr. Julie on The Mel Robbins Podcast",bjvPbfxE3CI
2025-03-12T19:30:06Z,Surprising advice if you feel overwhelmed right now | Mel Robbins #Shorts,ndYMbkdoJ7M
2025-03-11T19:30:01Z,The hard truth about your phone: Sleep without it | Mel Robbins #Shorts,C5jCDusTJAA
2025-03-10T09:00:12Z,"Get Back on Track: 5 Evening Habits to Wake Up Focused, Recharged, and in Control",85vnQT6TI_4
2025-03-09T19:30:03Z,This is why yours 20 are so hard | Mel Robbins #Shorts,NY3ni2YVPJA
2025-03-06T10:00:53Z,"Look, Feel, & Stay Young Forever: #1 Orthopedic Surgeon’s Proven Protocol | The Mel Robbins Podcast",gO_x3gnXBzg
2025-03-05T20:30:04Z,How to reset your brain for the week in minutes | Mel Robbins #Shorts,Xrp1Tz5mboI
2025-03-04T20:30:06Z,Your phone is stealing your attention | Mel Robbins #Shorts,pDRWT7Oqg4A
2025-03-03T10:00:34Z,How to Stop Screwing Yourself Over | The Mel Robbins Podcast,SO9FHaF4EJw
2025-03-02T20:30:04Z,How getting sunlight in the morning can help you sleep better | Mel Robbins #Shorts,WemIirrZvcI
2025-02-28T20:30:03Z,How to respond to gaslighting | Mel Robbins #Shorts,FH9uxcb3IWM
2025-02-27T10:00:41Z,How To Handle Difficult People & Take Back Your Peace and Power,XhBp6GZzH6k
2025-02-26T20:33:16Z,The relationship advice will change everything | Mel Robbins #Shorts,Qx0ioUSKgpk
2025-02-24T10:00:52Z,"The 7-Day Reset for More Time, Energy, & Happiness (Backed by Science)",mSaI8Rluel8
2025-02-23T20:30:00Z,The hardest part of grief no one talks about | Mel Robbins #Shorts,0XJBfB8CfhU
